StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2023-03-08T10:00:00Z,APXMIDP,2023-03-08,21,136.73,2891.950
2023-03-08T10:00:00Z,N2EXMIDP,2023-03-08,21,0.00,0.000
2023-03-08T09:30:00Z,APXMIDP,2023-03-08,20,156.41,2686.400
2023-03-08T09:30:00Z,N2EXMIDP,2023-03-08,20,0.00,0.000
2023-03-08T09:00:00Z,APXMIDP,2023-03-08,19,159.43,2665.250
2023-03-08T09:00:00Z,N2EXMIDP,2023-03-08,19,0.00,0.000
2023-03-08T08:30:00Z,APXMIDP,2023-03-08,18,152.37,2502.850
2023-03-08T08:30:00Z,N2EXMIDP,2023-03-08,18,0.00,0.000
2023-03-08T08:00:00Z,APXMIDP,2023-03-08,17,146.08,2246.500
2023-03-08T08:00:00Z,N2EXMIDP,2023-03-08,17,0.00,0.000
2023-03-08T07:30:00Z,APXMIDP,2023-03-08,16,147.95,1891.150
2023-03-08T07:30:00Z,N2EXMIDP,2023-03-08,16,0.00,0.000
2023-03-08T07:00:00Z,APXMIDP,2023-03-08,15,128.65,1847.350
2023-03-08T07:00:00Z,N2EXMIDP,2023-03-08,15,0.00,0.000
2023-03-08T06:30:00Z,APXMIDP,2023-03-08,14,123.22,1444.400
2023-03-08T06:30:00Z,N2EXMIDP,2023-03-08,14,0.00,0.000
2023-03-08T06:00:00Z,APXMIDP,2023-03-08,13,120.74,1318.950
2023-03-08T06:00:00Z,N2EXMIDP,2023-03-08,13,0.00,0.000
2023-03-08T05:30:00Z,APXMIDP,2023-03-08,12,123.18,1403.650
2023-03-08T05:30:00Z,N2EXMIDP,2023-03-08,12,0.00,0.000
2023-03-08T05:00:00Z,APXMIDP,2023-03-08,11,127.79,1331.950
2023-03-08T05:00:00Z,N2EXMIDP,2023-03-08,11,0.00,0.000
2023-03-08T04:30:00Z,APXMIDP,2023-03-08,10,106.04,1369.400
2023-03-08T04:30:00Z,N2EXMIDP,2023-03-08,10,0.00,0.000
2023-03-08T04:00:00Z,APXMIDP,2023-03-08,9,111.56,1404.350
2023-03-08T04:00:00Z,N2EXMIDP,2023-03-08,9,0.00,0.000
2023-03-08T03:30:00Z,APXMIDP,2023-03-08,8,107.70,1318.350
2023-03-08T03:30:00Z,N2EXMIDP,2023-03-08,8,0.00,0.000
2023-03-08T03:00:00Z,APXMIDP,2023-03-08,7,110.98,1131.700
2023-03-08T03:00:00Z,N2EXMIDP,2023-03-08,7,0.00,0.000
2023-03-08T02:30:00Z,APXMIDP,2023-03-08,6,116.38,845.050
2023-03-08T02:30:00Z,N2EXMIDP,2023-03-08,6,0.00,0.000
2023-03-08T02:00:00Z,APXMIDP,2023-03-08,5,117.34,1006.700
2023-03-08T02:00:00Z,N2EXMIDP,2023-03-08,5,0.00,0.000
2023-03-08T01:30:00Z,APXMIDP,2023-03-08,4,120.87,812.400
2023-03-08T01:30:00Z,N2EXMIDP,2023-03-08,4,0.00,0.000
2023-03-08T01:00:00Z,APXMIDP,2023-03-08,3,133.07,935.150
2023-03-08T01:00:00Z,N2EXMIDP,2023-03-08,3,0.00,0.000
2023-03-08T00:30:00Z,APXMIDP,2023-03-08,2,127.63,853.750
2023-03-08T00:30:00Z,N2EXMIDP,2023-03-08,2,0.00,0.000
2023-03-08T00:00:00Z,APXMIDP,2023-03-08,1,122.29,1007.850
2023-03-08T00:00:00Z,N2EXMIDP,2023-03-08,1,0.00,0.000
2023-03-07T23:30:00Z,APXMIDP,2023-03-07,48,125.99,901.900
2023-03-07T23:30:00Z,N2EXMIDP,2023-03-07,48,0.00,0.000
2023-03-07T23:00:00Z,APXMIDP,2023-03-07,47,127.73,1088.200
2023-03-07T23:00:00Z,N2EXMIDP,2023-03-07,47,0.00,0.000
2023-03-07T22:30:00Z,APXMIDP,2023-03-07,46,144.19,2151.700
2023-03-07T22:30:00Z,N2EXMIDP,2023-03-07,46,0.00,0.000
2023-03-07T22:00:00Z,APXMIDP,2023-03-07,45,141.56,2229.050
2023-03-07T22:00:00Z,N2EXMIDP,2023-03-07,45,0.00,0.000
2023-03-07T21:30:00Z,APXMIDP,2023-03-07,44,138.65,2107.700
2023-03-07T21:30:00Z,N2EXMIDP,2023-03-07,44,0.00,0.000
2023-03-07T21:00:00Z,APXMIDP,2023-03-07,43,164.45,2360.850
2023-03-07T21:00:00Z,N2EXMIDP,2023-03-07,43,0.00,0.000
2023-03-07T20:30:00Z,APXMIDP,2023-03-07,42,184.60,2772.700
2023-03-07T20:30:00Z,N2EXMIDP,2023-03-07,42,0.00,0.000
2023-03-07T20:00:00Z,APXMIDP,2023-03-07,41,194.11,2528.700
2023-03-07T20:00:00Z,N2EXMIDP,2023-03-07,41,0.00,0.000
2023-03-07T19:30:00Z,APXMIDP,2023-03-07,40,207.41,2299.000
2023-03-07T19:30:00Z,N2EXMIDP,2023-03-07,40,0.00,0.000
2023-03-07T19:00:00Z,APXMIDP,2023-03-07,39,225.88,2352.400
2023-03-07T19:00:00Z,N2EXMIDP,2023-03-07,39,0.00,0.000
2023-03-07T18:30:00Z,APXMIDP,2023-03-07,38,580.38,2329.650
2023-03-07T18:30:00Z,N2EXMIDP,2023-03-07,38,0.00,0.000
2023-03-07T18:00:00Z,APXMIDP,2023-03-07,37,501.49,2125.000
2023-03-07T18:00:00Z,N2EXMIDP,2023-03-07,37,0.00,0.000
2023-03-07T17:30:00Z,APXMIDP,2023-03-07,36,304.34,2230.400
2023-03-07T17:30:00Z,N2EXMIDP,2023-03-07,36,0.00,0.000
2023-03-07T17:00:00Z,APXMIDP,2023-03-07,35,212.24,2566.250
2023-03-07T17:00:00Z,N2EXMIDP,2023-03-07,35,0.00,0.000
