StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-02-22T12:00:00Z,APXMIDP,2026-02-22,25,39.13,3816.800
2026-02-22T12:00:00Z,N2EXMIDP,2026-02-22,25,0.00,0.000
2026-02-22T11:30:00Z,APXMIDP,2026-02-22,24,24.17,3181.350
2026-02-22T11:30:00Z,N2EXMIDP,2026-02-22,24,0.00,0.000
2026-02-22T11:00:00Z,APXMIDP,2026-02-22,23,21.91,3044.250
2026-02-22T11:00:00Z,N2EXMIDP,2026-02-22,23,0.00,0.000
2026-02-22T10:30:00Z,APXMIDP,2026-02-22,22,27.30,2820.450
2026-02-22T10:30:00Z,N2EXMIDP,2026-02-22,22,0.00,0.000
2026-02-22T10:00:00Z,APXMIDP,2026-02-22,21,27.28,2710.950
2026-02-22T10:00:00Z,N2EXMIDP,2026-02-22,21,0.00,0.000
2026-02-22T09:30:00Z,APXMIDP,2026-02-22,20,31.07,3280.050
2026-02-22T09:30:00Z,N2EXMIDP,2026-02-22,20,0.00,0.000
2026-02-22T09:00:00Z,APXMIDP,2026-02-22,19,30.44,3700.050
2026-02-22T09:00:00Z,N2EXMIDP,2026-02-22,19,0.00,0.000
2026-02-22T08:30:00Z,APXMIDP,2026-02-22,18,26.29,2843.600
2026-02-22T08:30:00Z,N2EXMIDP,2026-02-22,18,0.00,0.000
2026-02-22T08:00:00Z,APXMIDP,2026-02-22,17,26.38,2323.600
2026-02-22T08:00:00Z,N2EXMIDP,2026-02-22,17,0.00,0.000
2026-02-22T07:30:00Z,APXMIDP,2026-02-22,16,25.85,3067.200
2026-02-22T07:30:00Z,N2EXMIDP,2026-02-22,16,0.00,0.000
2026-02-22T07:00:00Z,APXMIDP,2026-02-22,15,29.36,2979.100
2026-02-22T07:00:00Z,N2EXMIDP,2026-02-22,15,0.00,0.000
2026-02-22T06:30:00Z,APXMIDP,2026-02-22,14,32.11,2569.800
2026-02-22T06:30:00Z,N2EXMIDP,2026-02-22,14,0.00,0.000
2026-02-22T06:00:00Z,APXMIDP,2026-02-22,13,34.69,2240.300
2026-02-22T06:00:00Z,N2EXMIDP,2026-02-22,13,0.00,0.000
2026-02-22T05:30:00Z,APXMIDP,2026-02-22,12,30.89,2598.850
2026-02-22T05:30:00Z,N2EXMIDP,2026-02-22,12,33.17,43.500
2026-02-22T05:00:00Z,APXMIDP,2026-02-22,11,34.54,2678.150
2026-02-22T05:00:00Z,N2EXMIDP,2026-02-22,11,0.00,0.000
2026-02-22T04:30:00Z,APXMIDP,2026-02-22,10,35.61,3097.550
2026-02-22T04:30:00Z,N2EXMIDP,2026-02-22,10,0.00,0.000
2026-02-22T04:00:00Z,APXMIDP,2026-02-22,9,38.10,3065.050
2026-02-22T04:00:00Z,N2EXMIDP,2026-02-22,9,0.00,0.000
2026-02-22T03:30:00Z,APXMIDP,2026-02-22,8,41.99,2384.150
2026-02-22T03:30:00Z,N2EXMIDP,2026-02-22,8,0.00,0.000
2026-02-22T03:00:00Z,APXMIDP,2026-02-22,7,44.83,2449.300
2026-02-22T03:00:00Z,N2EXMIDP,2026-02-22,7,0.00,0.000
2026-02-22T02:30:00Z,APXMIDP,2026-02-22,6,32.22,2681.350
2026-02-22T02:30:00Z,N2EXMIDP,2026-02-22,6,0.00,0.000
2026-02-22T02:00:00Z,APXMIDP,2026-02-22,5,43.49,2641.700
2026-02-22T02:00:00Z,N2EXMIDP,2026-02-22,5,0.00,0.000
2026-02-22T01:30:00Z,APXMIDP,2026-02-22,4,42.17,2073.950
2026-02-22T01:30:00Z,N2EXMIDP,2026-02-22,4,0.00,0.000
2026-02-22T01:00:00Z,APXMIDP,2026-02-22,3,56.62,2287.700
2026-02-22T01:00:00Z,N2EXMIDP,2026-02-22,3,0.00,0.000
2026-02-22T00:30:00Z,APXMIDP,2026-02-22,2,61.56,2781.800
2026-02-22T00:30:00Z,N2EXMIDP,2026-02-22,2,0.00,0.000
2026-02-22T00:00:00Z,APXMIDP,2026-02-22,1,53.58,2055.500
2026-02-22T00:00:00Z,N2EXMIDP,2026-02-22,1,0.00,0.000
2026-02-21T23:30:00Z,APXMIDP,2026-02-21,48,42.29,2465.600
2026-02-21T23:30:00Z,N2EXMIDP,2026-02-21,48,0.00,0.000
2026-02-21T23:00:00Z,APXMIDP,2026-02-21,47,41.00,2780.000
2026-02-21T23:00:00Z,N2EXMIDP,2026-02-21,47,0.00,0.000
2026-02-21T22:30:00Z,APXMIDP,2026-02-21,46,49.36,2319.450
2026-02-21T22:30:00Z,N2EXMIDP,2026-02-21,46,0.00,0.000
2026-02-21T22:00:00Z,APXMIDP,2026-02-21,45,57.44,2412.150
2026-02-21T22:00:00Z,N2EXMIDP,2026-02-21,45,0.00,0.000
2026-02-21T21:30:00Z,APXMIDP,2026-02-21,44,59.37,2008.950
2026-02-21T21:30:00Z,N2EXMIDP,2026-02-21,44,0.00,0.000
2026-02-21T21:00:00Z,APXMIDP,2026-02-21,43,68.97,2916.100
2026-02-21T21:00:00Z,N2EXMIDP,2026-02-21,43,0.00,0.000
2026-02-21T20:30:00Z,APXMIDP,2026-02-21,42,73.17,2930.700
2026-02-21T20:30:00Z,N2EXMIDP,2026-02-21,42,0.00,0.000
2026-02-21T20:00:00Z,APXMIDP,2026-02-21,41,76.35,2743.100
2026-02-21T20:00:00Z,N2EXMIDP,2026-02-21,41,0.00,0.000
2026-02-21T19:30:00Z,APXMIDP,2026-02-21,40,78.51,2797.550
2026-02-21T19:30:00Z,N2EXMIDP,2026-02-21,40,0.00,0.000
2026-02-21T19:00:00Z,APXMIDP,2026-02-21,39,79.78,2883.400
2026-02-21T19:00:00Z,N2EXMIDP,2026-02-21,39,0.00,0.000
2026-02-21T18:30:00Z,APXMIDP,2026-02-21,38,91.91,3611.950
2026-02-21T18:30:00Z,N2EXMIDP,2026-02-21,38,0.00,0.000
2026-02-21T18:00:00Z,APXMIDP,2026-02-21,37,98.22,3794.900
2026-02-21T18:00:00Z,N2EXMIDP,2026-02-21,37,0.00,0.000
2026-02-21T17:30:00Z,APXMIDP,2026-02-21,36,99.71,4311.650
2026-02-21T17:30:00Z,N2EXMIDP,2026-02-21,36,0.00,0.000
2026-02-21T17:00:00Z,APXMIDP,2026-02-21,35,98.82,4320.250
2026-02-21T17:00:00Z,N2EXMIDP,2026-02-21,35,0.00,0.000
2026-02-21T16:30:00Z,APXMIDP,2026-02-21,34,99.37,3914.700
2026-02-21T16:30:00Z,N2EXMIDP,2026-02-21,34,0.00,0.000
2026-02-21T16:00:00Z,APXMIDP,2026-02-21,33,97.49,3880.800
2026-02-21T16:00:00Z,N2EXMIDP,2026-02-21,33,0.00,0.000
2026-02-21T15:30:00Z,APXMIDP,2026-02-21,32,93.23,3930.700
2026-02-21T15:30:00Z,N2EXMIDP,2026-02-21,32,0.00,0.000
2026-02-21T15:00:00Z,APXMIDP,2026-02-21,31,88.66,3318.000
2026-02-21T15:00:00Z,N2EXMIDP,2026-02-21,31,0.00,0.000
2026-02-21T14:30:00Z,APXMIDP,2026-02-21,30,81.62,3728.650
2026-02-21T14:30:00Z,N2EXMIDP,2026-02-21,30,0.00,0.000
2026-02-21T14:00:00Z,APXMIDP,2026-02-21,29,79.93,3954.250
2026-02-21T14:00:00Z,N2EXMIDP,2026-02-21,29,0.00,0.000
2026-02-21T13:30:00Z,APXMIDP,2026-02-21,28,79.51,3797.200
2026-02-21T13:30:00Z,N2EXMIDP,2026-02-21,28,0.00,0.000
2026-02-21T13:00:00Z,APXMIDP,2026-02-21,27,79.07,3113.750
2026-02-21T13:00:00Z,N2EXMIDP,2026-02-21,27,0.00,0.000
2026-02-21T12:30:00Z,APXMIDP,2026-02-21,26,81.56,3057.650
2026-02-21T12:30:00Z,N2EXMIDP,2026-02-21,26,0.00,0.000
2026-02-21T12:00:00Z,APXMIDP,2026-02-21,25,86.19,2944.250
2026-02-21T12:00:00Z,N2EXMIDP,2026-02-21,25,0.00,0.000
2026-02-21T11:30:00Z,APXMIDP,2026-02-21,24,85.50,3168.600
2026-02-21T11:30:00Z,N2EXMIDP,2026-02-21,24,0.00,0.000
2026-02-21T11:00:00Z,APXMIDP,2026-02-21,23,87.32,2744.450
2026-02-21T11:00:00Z,N2EXMIDP,2026-02-21,23,0.00,0.000
2026-02-21T10:30:00Z,APXMIDP,2026-02-21,22,86.21,2880.350
2026-02-21T10:30:00Z,N2EXMIDP,2026-02-21,22,0.00,0.000
2026-02-21T10:00:00Z,APXMIDP,2026-02-21,21,85.64,2527.900
2026-02-21T10:00:00Z,N2EXMIDP,2026-02-21,21,0.00,0.000
2026-02-21T09:30:00Z,APXMIDP,2026-02-21,20,85.57,2310.500
2026-02-21T09:30:00Z,N2EXMIDP,2026-02-21,20,0.00,0.000
2026-02-21T09:00:00Z,APXMIDP,2026-02-21,19,86.20,2505.300
2026-02-21T09:00:00Z,N2EXMIDP,2026-02-21,19,0.00,0.000
2026-02-21T08:30:00Z,APXMIDP,2026-02-21,18,86.24,2167.300
2026-02-21T08:30:00Z,N2EXMIDP,2026-02-21,18,0.00,0.000
2026-02-21T08:00:00Z,APXMIDP,2026-02-21,17,81.40,2051.250
2026-02-21T08:00:00Z,N2EXMIDP,2026-02-21,17,0.00,0.000
2026-02-21T07:30:00Z,APXMIDP,2026-02-21,16,70.41,2394.250
2026-02-21T07:30:00Z,N2EXMIDP,2026-02-21,16,0.00,0.000
2026-02-21T07:00:00Z,APXMIDP,2026-02-21,15,65.58,2797.000
2026-02-21T07:00:00Z,N2EXMIDP,2026-02-21,15,0.00,0.000
2026-02-21T06:30:00Z,APXMIDP,2026-02-21,14,58.02,2573.700
2026-02-21T06:30:00Z,N2EXMIDP,2026-02-21,14,0.00,0.000
2026-02-21T06:00:00Z,APXMIDP,2026-02-21,13,43.44,2224.150
2026-02-21T06:00:00Z,N2EXMIDP,2026-02-21,13,0.00,0.000
2026-02-21T05:30:00Z,APXMIDP,2026-02-21,12,29.49,2348.050
2026-02-21T05:30:00Z,N2EXMIDP,2026-02-21,12,0.00,0.000
2026-02-21T05:00:00Z,APXMIDP,2026-02-21,11,26.66,2172.900
2026-02-21T05:00:00Z,N2EXMIDP,2026-02-21,11,0.00,0.000
2026-02-21T04:30:00Z,APXMIDP,2026-02-21,10,34.29,2804.200
2026-02-21T04:30:00Z,N2EXMIDP,2026-02-21,10,0.00,0.000
2026-02-21T04:00:00Z,APXMIDP,2026-02-21,9,44.94,2276.100
2026-02-21T04:00:00Z,N2EXMIDP,2026-02-21,9,0.00,0.000
2026-02-21T03:30:00Z,APXMIDP,2026-02-21,8,50.58,2114.650
2026-02-21T03:30:00Z,N2EXMIDP,2026-02-21,8,0.00,0.000
2026-02-21T03:00:00Z,APXMIDP,2026-02-21,7,55.58,1975.150
2026-02-21T03:00:00Z,N2EXMIDP,2026-02-21,7,0.00,0.000
2026-02-21T02:30:00Z,APXMIDP,2026-02-21,6,59.23,2773.500
2026-02-21T02:30:00Z,N2EXMIDP,2026-02-21,6,0.00,0.000
2026-02-21T02:00:00Z,APXMIDP,2026-02-21,5,58.57,2596.800
2026-02-21T02:00:00Z,N2EXMIDP,2026-02-21,5,0.00,0.000
2026-02-21T01:30:00Z,APXMIDP,2026-02-21,4,61.93,2588.300
2026-02-21T01:30:00Z,N2EXMIDP,2026-02-21,4,0.00,0.000
2026-02-21T01:00:00Z,APXMIDP,2026-02-21,3,63.47,2644.850
2026-02-21T01:00:00Z,N2EXMIDP,2026-02-21,3,0.00,0.000
2026-02-21T00:30:00Z,APXMIDP,2026-02-21,2,61.99,1907.750
2026-02-21T00:30:00Z,N2EXMIDP,2026-02-21,2,0.00,0.000
2026-02-21T00:00:00Z,APXMIDP,2026-02-21,1,53.08,1889.000
2026-02-21T00:00:00Z,N2EXMIDP,2026-02-21,1,0.00,0.000
2026-02-20T23:30:00Z,APXMIDP,2026-02-20,48,52.38,1734.350
2026-02-20T23:30:00Z,N2EXMIDP,2026-02-20,48,0.00,0.000
2026-02-20T23:00:00Z,APXMIDP,2026-02-20,47,61.74,1712.700
2026-02-20T23:00:00Z,N2EXMIDP,2026-02-20,47,0.00,0.000
2026-02-20T22:30:00Z,APXMIDP,2026-02-20,46,64.07,2784.650
2026-02-20T22:30:00Z,N2EXMIDP,2026-02-20,46,0.00,0.000
2026-02-20T22:00:00Z,APXMIDP,2026-02-20,45,69.43,2574.150
2026-02-20T22:00:00Z,N2EXMIDP,2026-02-20,45,0.00,0.000
2026-02-20T21:30:00Z,APXMIDP,2026-02-20,44,64.51,2904.150
2026-02-20T21:30:00Z,N2EXMIDP,2026-02-20,44,0.00,0.000
2026-02-20T21:00:00Z,APXMIDP,2026-02-20,43,72.29,2857.650
2026-02-20T21:00:00Z,N2EXMIDP,2026-02-20,43,0.00,0.000
2026-02-20T20:30:00Z,APXMIDP,2026-02-20,42,76.58,2281.900
2026-02-20T20:30:00Z,N2EXMIDP,2026-02-20,42,0.00,0.000
2026-02-20T20:00:00Z,APXMIDP,2026-02-20,41,78.28,2469.550
2026-02-20T20:00:00Z,N2EXMIDP,2026-02-20,41,0.00,0.000
2026-02-20T19:30:00Z,APXMIDP,2026-02-20,40,76.76,2863.000
2026-02-20T19:30:00Z,N2EXMIDP,2026-02-20,40,0.00,0.000
2026-02-20T19:00:00Z,APXMIDP,2026-02-20,39,74.19,2700.250
2026-02-20T19:00:00Z,N2EXMIDP,2026-02-20,39,0.00,0.000
2026-02-20T18:30:00Z,APXMIDP,2026-02-20,38,79.30,3440.950
2026-02-20T18:30:00Z,N2EXMIDP,2026-02-20,38,0.00,0.000
2026-02-20T18:00:00Z,APXMIDP,2026-02-20,37,80.67,3596.900
2026-02-20T18:00:00Z,N2EXMIDP,2026-02-20,37,0.00,0.000
2026-02-20T17:30:00Z,APXMIDP,2026-02-20,36,80.13,3974.100
2026-02-20T17:30:00Z,N2EXMIDP,2026-02-20,36,0.00,0.000
2026-02-20T17:00:00Z,APXMIDP,2026-02-20,35,77.04,3250.400
2026-02-20T17:00:00Z,N2EXMIDP,2026-02-20,35,0.00,0.000
2026-02-20T16:30:00Z,APXMIDP,2026-02-20,34,73.75,3853.850
2026-02-20T16:30:00Z,N2EXMIDP,2026-02-20,34,0.00,0.000
2026-02-20T16:00:00Z,APXMIDP,2026-02-20,33,69.56,3488.150
2026-02-20T16:00:00Z,N2EXMIDP,2026-02-20,33,0.00,0.000
2026-02-20T15:30:00Z,APXMIDP,2026-02-20,32,76.65,3201.550
2026-02-20T15:30:00Z,N2EXMIDP,2026-02-20,32,0.00,0.000
2026-02-20T15:00:00Z,APXMIDP,2026-02-20,31,78.20,2990.900
2026-02-20T15:00:00Z,N2EXMIDP,2026-02-20,31,0.00,0.000
2026-02-20T14:30:00Z,APXMIDP,2026-02-20,30,75.23,2676.350
2026-02-20T14:30:00Z,N2EXMIDP,2026-02-20,30,0.00,0.000
2026-02-20T14:00:00Z,APXMIDP,2026-02-20,29,75.38,2799.200
2026-02-20T14:00:00Z,N2EXMIDP,2026-02-20,29,0.00,0.000
2026-02-20T13:30:00Z,APXMIDP,2026-02-20,28,70.55,3031.900
2026-02-20T13:30:00Z,N2EXMIDP,2026-02-20,28,0.00,0.000
2026-02-20T13:00:00Z,APXMIDP,2026-02-20,27,70.40,2359.450
2026-02-20T13:00:00Z,N2EXMIDP,2026-02-20,27,0.00,0.000
2026-02-20T12:30:00Z,APXMIDP,2026-02-20,26,71.77,2863.250
2026-02-20T12:30:00Z,N2EXMIDP,2026-02-20,26,0.00,0.000
2026-02-20T12:00:00Z,APXMIDP,2026-02-20,25,76.62,3443.150
2026-02-20T12:00:00Z,N2EXMIDP,2026-02-20,25,0.00,0.000
2026-02-20T11:30:00Z,APXMIDP,2026-02-20,24,75.48,3086.300
2026-02-20T11:30:00Z,N2EXMIDP,2026-02-20,24,0.00,0.000
2026-02-20T11:00:00Z,APXMIDP,2026-02-20,23,76.95,3155.250
2026-02-20T11:00:00Z,N2EXMIDP,2026-02-20,23,0.00,0.000
2026-02-20T10:30:00Z,APXMIDP,2026-02-20,22,75.87,3323.850
2026-02-20T10:30:00Z,N2EXMIDP,2026-02-20,22,0.00,0.000
2026-02-20T10:00:00Z,APXMIDP,2026-02-20,21,80.25,3605.250
2026-02-20T10:00:00Z,N2EXMIDP,2026-02-20,21,0.00,0.000
2026-02-20T09:30:00Z,APXMIDP,2026-02-20,20,82.63,3956.500
2026-02-20T09:30:00Z,N2EXMIDP,2026-02-20,20,0.00,0.000
2026-02-20T09:00:00Z,APXMIDP,2026-02-20,19,80.58,3766.300
2026-02-20T09:00:00Z,N2EXMIDP,2026-02-20,19,0.00,0.000
2026-02-20T08:30:00Z,APXMIDP,2026-02-20,18,79.35,3631.850
2026-02-20T08:30:00Z,N2EXMIDP,2026-02-20,18,0.00,0.000
2026-02-20T08:00:00Z,APXMIDP,2026-02-20,17,79.32,3594.100
2026-02-20T08:00:00Z,N2EXMIDP,2026-02-20,17,0.00,0.000
2026-02-20T07:30:00Z,APXMIDP,2026-02-20,16,86.73,3895.300
2026-02-20T07:30:00Z,N2EXMIDP,2026-02-20,16,0.00,0.000
2026-02-20T07:00:00Z,APXMIDP,2026-02-20,15,88.19,3275.850
2026-02-20T07:00:00Z,N2EXMIDP,2026-02-20,15,0.00,0.000
2026-02-20T06:30:00Z,APXMIDP,2026-02-20,14,89.12,2778.850
2026-02-20T06:30:00Z,N2EXMIDP,2026-02-20,14,0.00,0.000
2026-02-20T06:00:00Z,APXMIDP,2026-02-20,13,86.01,1843.500
2026-02-20T06:00:00Z,N2EXMIDP,2026-02-20,13,0.00,0.000
2026-02-20T05:30:00Z,APXMIDP,2026-02-20,12,73.59,1895.150
2026-02-20T05:30:00Z,N2EXMIDP,2026-02-20,12,0.00,0.000
2026-02-20T05:00:00Z,APXMIDP,2026-02-20,11,70.64,1702.250
2026-02-20T05:00:00Z,N2EXMIDP,2026-02-20,11,0.00,0.000
2026-02-20T04:30:00Z,APXMIDP,2026-02-20,10,70.50,1979.750
2026-02-20T04:30:00Z,N2EXMIDP,2026-02-20,10,0.00,0.000
2026-02-20T04:00:00Z,APXMIDP,2026-02-20,9,75.20,1885.300
2026-02-20T04:00:00Z,N2EXMIDP,2026-02-20,9,0.00,0.000
2026-02-20T03:30:00Z,APXMIDP,2026-02-20,8,77.27,2152.350
2026-02-20T03:30:00Z,N2EXMIDP,2026-02-20,8,0.00,0.000
2026-02-20T03:00:00Z,APXMIDP,2026-02-20,7,78.45,1736.900
2026-02-20T03:00:00Z,N2EXMIDP,2026-02-20,7,0.00,0.000
2026-02-20T02:30:00Z,APXMIDP,2026-02-20,6,77.62,1659.550
2026-02-20T02:30:00Z,N2EXMIDP,2026-02-20,6,0.00,0.000
2026-02-20T02:00:00Z,APXMIDP,2026-02-20,5,76.19,1576.300
2026-02-20T02:00:00Z,N2EXMIDP,2026-02-20,5,0.00,0.000
2026-02-20T01:30:00Z,APXMIDP,2026-02-20,4,77.21,1687.650
2026-02-20T01:30:00Z,N2EXMIDP,2026-02-20,4,0.00,0.000
2026-02-20T01:00:00Z,APXMIDP,2026-02-20,3,80.82,1885.050
2026-02-20T01:00:00Z,N2EXMIDP,2026-02-20,3,0.00,0.000
2026-02-20T00:30:00Z,APXMIDP,2026-02-20,2,84.94,2451.750
2026-02-20T00:30:00Z,N2EXMIDP,2026-02-20,2,0.00,0.000
2026-02-20T00:00:00Z,APXMIDP,2026-02-20,1,84.55,2412.800
2026-02-20T00:00:00Z,N2EXMIDP,2026-02-20,1,0.00,0.000
2026-02-19T23:30:00Z,APXMIDP,2026-02-19,48,86.34,2566.650
2026-02-19T23:30:00Z,N2EXMIDP,2026-02-19,48,0.00,0.000
2026-02-19T23:00:00Z,APXMIDP,2026-02-19,47,83.98,2641.850
2026-02-19T23:00:00Z,N2EXMIDP,2026-02-19,47,0.00,0.000
2026-02-19T22:30:00Z,APXMIDP,2026-02-19,46,84.61,4532.400
2026-02-19T22:30:00Z,N2EXMIDP,2026-02-19,46,0.00,0.000
2026-02-19T22:00:00Z,APXMIDP,2026-02-19,45,90.41,4390.600
2026-02-19T22:00:00Z,N2EXMIDP,2026-02-19,45,0.00,0.000
2026-02-19T21:30:00Z,APXMIDP,2026-02-19,44,95.50,3979.750
2026-02-19T21:30:00Z,N2EXMIDP,2026-02-19,44,0.00,0.000
2026-02-19T21:00:00Z,APXMIDP,2026-02-19,43,93.78,3733.650
2026-02-19T21:00:00Z,N2EXMIDP,2026-02-19,43,0.00,0.000
2026-02-19T20:30:00Z,APXMIDP,2026-02-19,42,95.82,3367.050
2026-02-19T20:30:00Z,N2EXMIDP,2026-02-19,42,0.00,0.000
2026-02-19T20:00:00Z,APXMIDP,2026-02-19,41,104.35,3385.700
2026-02-19T20:00:00Z,N2EXMIDP,2026-02-19,41,0.00,0.000
2026-02-19T19:30:00Z,APXMIDP,2026-02-19,40,117.05,4083.850
2026-02-19T19:30:00Z,N2EXMIDP,2026-02-19,40,0.00,0.000
2026-02-19T19:00:00Z,APXMIDP,2026-02-19,39,123.12,4225.550
2026-02-19T19:00:00Z,N2EXMIDP,2026-02-19,39,0.00,0.000
2026-02-19T18:30:00Z,APXMIDP,2026-02-19,38,130.76,5940.600
2026-02-19T18:30:00Z,N2EXMIDP,2026-02-19,38,0.00,0.000
2026-02-19T18:00:00Z,APXMIDP,2026-02-19,37,134.45,5836.900
2026-02-19T18:00:00Z,N2EXMIDP,2026-02-19,37,0.00,0.000
2026-02-19T17:30:00Z,APXMIDP,2026-02-19,36,133.09,4953.200
2026-02-19T17:30:00Z,N2EXMIDP,2026-02-19,36,0.00,0.000
