StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-02-13T19:00:00Z,APXMIDP,2026-02-13,39,92.59,3666.350
2026-02-13T19:00:00Z,N2EXMIDP,2026-02-13,39,0.00,0.000
2026-02-13T18:30:00Z,APXMIDP,2026-02-13,38,104.26,4762.550
2026-02-13T18:30:00Z,N2EXMIDP,2026-02-13,38,0.00,0.000
2026-02-13T18:00:00Z,APXMIDP,2026-02-13,37,105.36,4944.350
2026-02-13T18:00:00Z,N2EXMIDP,2026-02-13,37,0.00,0.000
2026-02-13T17:30:00Z,APXMIDP,2026-02-13,36,104.47,5278.400
2026-02-13T17:30:00Z,N2EXMIDP,2026-02-13,36,0.00,0.000
2026-02-13T17:00:00Z,APXMIDP,2026-02-13,35,102.56,5398.800
2026-02-13T17:00:00Z,N2EXMIDP,2026-02-13,35,0.00,0.000
2026-02-13T16:30:00Z,APXMIDP,2026-02-13,34,100.66,4034.550
2026-02-13T16:30:00Z,N2EXMIDP,2026-02-13,34,0.00,0.000
2026-02-13T16:00:00Z,APXMIDP,2026-02-13,33,89.46,4118.900
2026-02-13T16:00:00Z,N2EXMIDP,2026-02-13,33,0.00,0.000
2026-02-13T15:30:00Z,APXMIDP,2026-02-13,32,86.94,3816.350
2026-02-13T15:30:00Z,N2EXMIDP,2026-02-13,32,0.00,0.000
2026-02-13T15:00:00Z,APXMIDP,2026-02-13,31,81.52,3686.450
2026-02-13T15:00:00Z,N2EXMIDP,2026-02-13,31,0.00,0.000
2026-02-13T14:30:00Z,APXMIDP,2026-02-13,30,72.02,3526.450
2026-02-13T14:30:00Z,N2EXMIDP,2026-02-13,30,0.00,0.000
2026-02-13T14:00:00Z,APXMIDP,2026-02-13,29,70.96,3031.800
2026-02-13T14:00:00Z,N2EXMIDP,2026-02-13,29,0.00,0.000
2026-02-13T13:30:00Z,APXMIDP,2026-02-13,28,70.95,3310.300
2026-02-13T13:30:00Z,N2EXMIDP,2026-02-13,28,0.00,0.000
2026-02-13T13:00:00Z,APXMIDP,2026-02-13,27,72.96,3297.750
2026-02-13T13:00:00Z,N2EXMIDP,2026-02-13,27,0.00,0.000
2026-02-13T12:30:00Z,APXMIDP,2026-02-13,26,72.31,3073.100
2026-02-13T12:30:00Z,N2EXMIDP,2026-02-13,26,0.00,0.000
2026-02-13T12:00:00Z,APXMIDP,2026-02-13,25,68.10,2787.750
2026-02-13T12:00:00Z,N2EXMIDP,2026-02-13,25,0.00,0.000
2026-02-13T11:30:00Z,APXMIDP,2026-02-13,24,75.96,2839.100
2026-02-13T11:30:00Z,N2EXMIDP,2026-02-13,24,0.00,0.000
2026-02-13T11:00:00Z,APXMIDP,2026-02-13,23,72.34,2558.750
2026-02-13T11:00:00Z,N2EXMIDP,2026-02-13,23,0.00,0.000
2026-02-13T10:30:00Z,APXMIDP,2026-02-13,22,73.40,3192.100
2026-02-13T10:30:00Z,N2EXMIDP,2026-02-13,22,0.00,0.000
2026-02-13T10:00:00Z,APXMIDP,2026-02-13,21,74.36,3572.200
2026-02-13T10:00:00Z,N2EXMIDP,2026-02-13,21,0.00,0.000
2026-02-13T09:30:00Z,APXMIDP,2026-02-13,20,76.60,3259.700
2026-02-13T09:30:00Z,N2EXMIDP,2026-02-13,20,0.00,0.000
2026-02-13T09:00:00Z,APXMIDP,2026-02-13,19,78.17,2997.100
2026-02-13T09:00:00Z,N2EXMIDP,2026-02-13,19,0.00,0.000
2026-02-13T08:30:00Z,APXMIDP,2026-02-13,18,85.64,3219.300
2026-02-13T08:30:00Z,N2EXMIDP,2026-02-13,18,0.00,0.000
2026-02-13T08:00:00Z,APXMIDP,2026-02-13,17,86.53,3247.700
2026-02-13T08:00:00Z,N2EXMIDP,2026-02-13,17,0.00,0.000
2026-02-13T07:30:00Z,APXMIDP,2026-02-13,16,76.12,2526.700
2026-02-13T07:30:00Z,N2EXMIDP,2026-02-13,16,0.00,0.000
2026-02-13T07:00:00Z,APXMIDP,2026-02-13,15,75.09,2204.850
2026-02-13T07:00:00Z,N2EXMIDP,2026-02-13,15,0.00,0.000
2026-02-13T06:30:00Z,APXMIDP,2026-02-13,14,72.93,1671.200
2026-02-13T06:30:00Z,N2EXMIDP,2026-02-13,14,0.00,0.000
2026-02-13T06:00:00Z,APXMIDP,2026-02-13,13,81.02,1461.350
2026-02-13T06:00:00Z,N2EXMIDP,2026-02-13,13,0.00,0.000
2026-02-13T05:30:00Z,APXMIDP,2026-02-13,12,78.92,1183.000
2026-02-13T05:30:00Z,N2EXMIDP,2026-02-13,12,0.00,0.000
2026-02-13T05:00:00Z,APXMIDP,2026-02-13,11,76.05,1219.900
2026-02-13T05:00:00Z,N2EXMIDP,2026-02-13,11,0.00,0.000
2026-02-13T04:30:00Z,APXMIDP,2026-02-13,10,69.01,1700.500
2026-02-13T04:30:00Z,N2EXMIDP,2026-02-13,10,0.00,0.000
2026-02-13T04:00:00Z,APXMIDP,2026-02-13,9,68.88,1507.950
2026-02-13T04:00:00Z,N2EXMIDP,2026-02-13,9,0.00,0.000
2026-02-13T03:30:00Z,APXMIDP,2026-02-13,8,69.84,1472.000
2026-02-13T03:30:00Z,N2EXMIDP,2026-02-13,8,0.00,0.000
2026-02-13T03:00:00Z,APXMIDP,2026-02-13,7,70.78,1308.250
2026-02-13T03:00:00Z,N2EXMIDP,2026-02-13,7,0.00,0.000
2026-02-13T02:30:00Z,APXMIDP,2026-02-13,6,71.58,1533.000
2026-02-13T02:30:00Z,N2EXMIDP,2026-02-13,6,0.00,0.000
2026-02-13T02:00:00Z,APXMIDP,2026-02-13,5,72.99,1605.700
2026-02-13T02:00:00Z,N2EXMIDP,2026-02-13,5,0.00,0.000
2026-02-13T01:30:00Z,APXMIDP,2026-02-13,4,71.62,1387.200
2026-02-13T01:30:00Z,N2EXMIDP,2026-02-13,4,0.00,0.000
2026-02-13T01:00:00Z,APXMIDP,2026-02-13,3,73.66,1558.050
2026-02-13T01:00:00Z,N2EXMIDP,2026-02-13,3,0.00,0.000
2026-02-13T00:30:00Z,APXMIDP,2026-02-13,2,72.72,1326.650
2026-02-13T00:30:00Z,N2EXMIDP,2026-02-13,2,0.00,0.000
2026-02-13T00:00:00Z,APXMIDP,2026-02-13,1,71.94,1125.150
2026-02-13T00:00:00Z,N2EXMIDP,2026-02-13,1,0.00,0.000
2026-02-12T23:30:00Z,APXMIDP,2026-02-12,48,72.82,1285.850
2026-02-12T23:30:00Z,N2EXMIDP,2026-02-12,48,0.00,0.000
2026-02-12T23:00:00Z,APXMIDP,2026-02-12,47,74.08,1374.550
2026-02-12T23:00:00Z,N2EXMIDP,2026-02-12,47,0.00,0.000
2026-02-12T22:30:00Z,APXMIDP,2026-02-12,46,76.99,3773.950
2026-02-12T22:30:00Z,N2EXMIDP,2026-02-12,46,0.00,0.000
2026-02-12T22:00:00Z,APXMIDP,2026-02-12,45,79.48,3262.700
2026-02-12T22:00:00Z,N2EXMIDP,2026-02-12,45,0.00,0.000
2026-02-12T21:30:00Z,APXMIDP,2026-02-12,44,81.29,3054.450
2026-02-12T21:30:00Z,N2EXMIDP,2026-02-12,44,0.00,0.000
2026-02-12T21:00:00Z,APXMIDP,2026-02-12,43,80.24,3406.050
2026-02-12T21:00:00Z,N2EXMIDP,2026-02-12,43,0.00,0.000
2026-02-12T20:30:00Z,APXMIDP,2026-02-12,42,86.36,3060.650
2026-02-12T20:30:00Z,N2EXMIDP,2026-02-12,42,0.00,0.000
2026-02-12T20:00:00Z,APXMIDP,2026-02-12,41,91.43,3205.100
2026-02-12T20:00:00Z,N2EXMIDP,2026-02-12,41,0.00,0.000
2026-02-12T19:30:00Z,APXMIDP,2026-02-12,40,88.78,3259.400
2026-02-12T19:30:00Z,N2EXMIDP,2026-02-12,40,0.00,0.000
2026-02-12T19:00:00Z,APXMIDP,2026-02-12,39,89.73,2948.150
2026-02-12T19:00:00Z,N2EXMIDP,2026-02-12,39,0.00,0.000
2026-02-12T18:30:00Z,APXMIDP,2026-02-12,38,92.90,3434.650
2026-02-12T18:30:00Z,N2EXMIDP,2026-02-12,38,0.00,0.000
2026-02-12T18:00:00Z,APXMIDP,2026-02-12,37,91.96,3258.000
2026-02-12T18:00:00Z,N2EXMIDP,2026-02-12,37,0.00,0.000
2026-02-12T17:30:00Z,APXMIDP,2026-02-12,36,92.95,3806.000
2026-02-12T17:30:00Z,N2EXMIDP,2026-02-12,36,0.00,0.000
2026-02-12T17:00:00Z,APXMIDP,2026-02-12,35,90.40,3448.950
2026-02-12T17:00:00Z,N2EXMIDP,2026-02-12,35,0.00,0.000
2026-02-12T16:30:00Z,APXMIDP,2026-02-12,34,89.38,3259.300
2026-02-12T16:30:00Z,N2EXMIDP,2026-02-12,34,0.00,0.000
2026-02-12T16:00:00Z,APXMIDP,2026-02-12,33,84.62,2621.350
2026-02-12T16:00:00Z,N2EXMIDP,2026-02-12,33,0.00,0.000
2026-02-12T15:30:00Z,APXMIDP,2026-02-12,32,82.25,3290.250
2026-02-12T15:30:00Z,N2EXMIDP,2026-02-12,32,0.00,0.000
2026-02-12T15:00:00Z,APXMIDP,2026-02-12,31,77.86,2916.200
2026-02-12T15:00:00Z,N2EXMIDP,2026-02-12,31,0.00,0.000
2026-02-12T14:30:00Z,APXMIDP,2026-02-12,30,75.51,3325.450
2026-02-12T14:30:00Z,N2EXMIDP,2026-02-12,30,0.00,0.000
2026-02-12T14:00:00Z,APXMIDP,2026-02-12,29,75.86,3719.400
2026-02-12T14:00:00Z,N2EXMIDP,2026-02-12,29,0.00,0.000
2026-02-12T13:30:00Z,APXMIDP,2026-02-12,28,73.41,3446.900
2026-02-12T13:30:00Z,N2EXMIDP,2026-02-12,28,0.00,0.000
2026-02-12T13:00:00Z,APXMIDP,2026-02-12,27,72.75,3289.000
2026-02-12T13:00:00Z,N2EXMIDP,2026-02-12,27,0.00,0.000
2026-02-12T12:30:00Z,APXMIDP,2026-02-12,26,73.57,3436.050
2026-02-12T12:30:00Z,N2EXMIDP,2026-02-12,26,0.00,0.000
2026-02-12T12:00:00Z,APXMIDP,2026-02-12,25,69.87,3593.550
2026-02-12T12:00:00Z,N2EXMIDP,2026-02-12,25,0.00,0.000
2026-02-12T11:30:00Z,APXMIDP,2026-02-12,24,68.77,3907.300
2026-02-12T11:30:00Z,N2EXMIDP,2026-02-12,24,0.00,0.000
2026-02-12T11:00:00Z,APXMIDP,2026-02-12,23,66.33,3341.600
2026-02-12T11:00:00Z,N2EXMIDP,2026-02-12,23,0.00,0.000
2026-02-12T10:30:00Z,APXMIDP,2026-02-12,22,71.23,2857.150
2026-02-12T10:30:00Z,N2EXMIDP,2026-02-12,22,0.00,0.000
2026-02-12T10:00:00Z,APXMIDP,2026-02-12,21,73.33,2665.500
2026-02-12T10:00:00Z,N2EXMIDP,2026-02-12,21,0.00,0.000
2026-02-12T09:30:00Z,APXMIDP,2026-02-12,20,75.67,3002.800
2026-02-12T09:30:00Z,N2EXMIDP,2026-02-12,20,0.00,0.000
2026-02-12T09:00:00Z,APXMIDP,2026-02-12,19,75.02,2647.450
2026-02-12T09:00:00Z,N2EXMIDP,2026-02-12,19,0.00,0.000
2026-02-12T08:30:00Z,APXMIDP,2026-02-12,18,79.17,2915.100
2026-02-12T08:30:00Z,N2EXMIDP,2026-02-12,18,0.00,0.000
2026-02-12T08:00:00Z,APXMIDP,2026-02-12,17,76.48,2661.700
2026-02-12T08:00:00Z,N2EXMIDP,2026-02-12,17,0.00,0.000
2026-02-12T07:30:00Z,APXMIDP,2026-02-12,16,82.19,2793.550
2026-02-12T07:30:00Z,N2EXMIDP,2026-02-12,16,0.00,0.000
2026-02-12T07:00:00Z,APXMIDP,2026-02-12,15,77.07,2760.600
2026-02-12T07:00:00Z,N2EXMIDP,2026-02-12,15,0.00,0.000
2026-02-12T06:30:00Z,APXMIDP,2026-02-12,14,71.37,1675.550
2026-02-12T06:30:00Z,N2EXMIDP,2026-02-12,14,0.00,0.000
2026-02-12T06:00:00Z,APXMIDP,2026-02-12,13,73.32,1915.650
2026-02-12T06:00:00Z,N2EXMIDP,2026-02-12,13,0.00,0.000
2026-02-12T05:30:00Z,APXMIDP,2026-02-12,12,66.64,1642.000
2026-02-12T05:30:00Z,N2EXMIDP,2026-02-12,12,0.00,0.000
2026-02-12T05:00:00Z,APXMIDP,2026-02-12,11,66.87,1675.700
2026-02-12T05:00:00Z,N2EXMIDP,2026-02-12,11,0.00,0.000
2026-02-12T04:30:00Z,APXMIDP,2026-02-12,10,65.69,1546.850
2026-02-12T04:30:00Z,N2EXMIDP,2026-02-12,10,0.00,0.000
2026-02-12T04:00:00Z,APXMIDP,2026-02-12,9,66.88,1424.850
2026-02-12T04:00:00Z,N2EXMIDP,2026-02-12,9,0.00,0.000
2026-02-12T03:30:00Z,APXMIDP,2026-02-12,8,69.41,1357.150
2026-02-12T03:30:00Z,N2EXMIDP,2026-02-12,8,0.00,0.000
