StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-03-02T11:00:00Z,APXMIDP,2026-03-02,23,74.05,2657.350
2026-03-02T11:00:00Z,N2EXMIDP,2026-03-02,23,0.00,0.000
2026-03-02T10:30:00Z,APXMIDP,2026-03-02,22,81.96,2383.900
2026-03-02T10:30:00Z,N2EXMIDP,2026-03-02,22,0.00,0.000
2026-03-02T10:00:00Z,APXMIDP,2026-03-02,21,93.59,2244.550
2026-03-02T10:00:00Z,N2EXMIDP,2026-03-02,21,0.00,0.000
2026-03-02T09:30:00Z,APXMIDP,2026-03-02,20,95.07,2102.150
2026-03-02T09:30:00Z,N2EXMIDP,2026-03-02,20,0.00,0.000
2026-03-02T09:00:00Z,APXMIDP,2026-03-02,19,94.25,2465.400
2026-03-02T09:00:00Z,N2EXMIDP,2026-03-02,19,0.00,0.000
2026-03-02T08:30:00Z,APXMIDP,2026-03-02,18,95.97,2251.400
2026-03-02T08:30:00Z,N2EXMIDP,2026-03-02,18,0.00,0.000
2026-03-02T08:00:00Z,APXMIDP,2026-03-02,17,94.78,2113.300
2026-03-02T08:00:00Z,N2EXMIDP,2026-03-02,17,0.00,0.000
2026-03-02T07:30:00Z,APXMIDP,2026-03-02,16,102.71,2083.200
2026-03-02T07:30:00Z,N2EXMIDP,2026-03-02,16,0.00,0.000
2026-03-02T07:00:00Z,APXMIDP,2026-03-02,15,95.71,2228.850
2026-03-02T07:00:00Z,N2EXMIDP,2026-03-02,15,0.00,0.000
2026-03-02T06:30:00Z,APXMIDP,2026-03-02,14,90.41,2514.050
2026-03-02T06:30:00Z,N2EXMIDP,2026-03-02,14,0.00,0.000
2026-03-02T06:00:00Z,APXMIDP,2026-03-02,13,82.20,2042.750
2026-03-02T06:00:00Z,N2EXMIDP,2026-03-02,13,0.00,0.000
2026-03-02T05:30:00Z,APXMIDP,2026-03-02,12,78.26,1739.450
2026-03-02T05:30:00Z,N2EXMIDP,2026-03-02,12,0.00,0.000
2026-03-02T05:00:00Z,APXMIDP,2026-03-02,11,68.73,2069.550
2026-03-02T05:00:00Z,N2EXMIDP,2026-03-02,11,0.00,0.000
2026-03-02T04:30:00Z,APXMIDP,2026-03-02,10,49.13,2139.300
2026-03-02T04:30:00Z,N2EXMIDP,2026-03-02,10,0.00,0.000
2026-03-02T04:00:00Z,APXMIDP,2026-03-02,9,39.33,2033.700
2026-03-02T04:00:00Z,N2EXMIDP,2026-03-02,9,0.00,0.000
2026-03-02T03:30:00Z,APXMIDP,2026-03-02,8,34.10,2034.950
2026-03-02T03:30:00Z,N2EXMIDP,2026-03-02,8,0.00,0.000
2026-03-02T03:00:00Z,APXMIDP,2026-03-02,7,33.59,1947.100
2026-03-02T03:00:00Z,N2EXMIDP,2026-03-02,7,0.00,0.000
